"","x"
"1","(Intercept)"
"2","bmi"
"3","total_chol"
"4","hemoglobin"
"5","albumin"
"6","AST"
"7","hypertensionNo"
"8","hypertensionDon't know"
"9","diabetesNo"
"10","diabetesBorderline"
"11","citizenship_statusNot a citizen of the US"
"12","educ_levelLess12grade"
"13","`children <5`1"
"14","`children <5`2"
"15","`children <5`3 or more"
"16","psu"
"17","genderFemale"
"18","age_yr"
"19","marital_statusWidowed"
"20","marital_statusNever married"
"21","marital_statusLiving with partner"
"22","cycle1"
"23","sleep>8hrs"
"24","raceMexican American"
"25","raceOther"
"26","raceWhite"
"27","snortNot recorded"
"28","alcoholNo drinking"
"29","alcoholNot recorded"
"30","income_categoryUnknown/Refused"
