"","x"
"1","(Intercept)"
"2","bmi"
"3","hdl"
"4","total_chol"
"5","AST"
"6","creatinine"
"7","diabetesYes"
"8","citizenship_statusDon't Know"
"9","citizenship_statusNot a citizen of the US"
"10","citizenship_statusRefused"
"11","educ_levelHighschool"
"12","educ_levelLess12grade"
"13","children..51"
"14","children..52"
"15","genderMale"
"16","age_yr"
"17","marital_statusMarried"
"18","marital_statusNever married"
"19","marital_statusSeparated"
"20","marital_statusWidowed"
"21","sleep6-8hrs"
"22","raceMexican American"
"23","raceOther"
"24","raceWhite"
"25","smokeNot Smoking"
"26","smokeSmoking"
"27","snortNot recorded"
"28","alcoholNo drinking"
"29","income_categoryLower-middle income"
"30","income_categoryVaried/High income"
